Date,Prompt,Caption,CatalanCaption
2025-06-07,"A cat dressed as a chef, meticulously inspecting a tiny fish on a cutting board in a cat-sized kitchen, complete with a 'Food Safety Inspection' badge. The kitchen setup mimics a professional chef's environment but scaled down to feline size, emphasizing attention to detail in the style of lomography fisheye with vivid colors.","I checks da fishies, makin' sure all noms is safe!","Comprovo els peixets, m'asseguro que tot estigui prou segur!"
2025-06-08,"A cheeky tabby cat dressed as a miniature pirate, complete with a tiny eye patch and a ruffled collar, standing on a sandy beach. The background features a cardboard 'ship' washed ashore, made from blue and white striped boxes. In the style of lomography fisheye with vivid colors.","Arrrr, guardin' da oceans, keepin' 'em clurr!","Arrrr, protegint los ocèans, que estiguin nets!"
2025-06-09,"A curious cat dressed as a vintage librarian, surrounded by towering stacks of old books and scrolls. It's peering through a magnifying glass, oversized glasses perched comically on its nose. The image is captured in the style of lomography fisheye with vivid colors.",I finds da seecrets of da ancient nomz!,Trobo els secrets dels nomz antics!
2025-06-10,"A majestic cat posed elegantly on a curvy, floral Art Nouveau chair, surrounded by swirls and tendrils in the wallpaper. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the cat's dramatic, long whiskers and a mock-serious expression.","If I fits, I sits... but make it artsy!","Si capic, m'assec... però amb art, miau!"
2025-06-11,"A vibrant, lomography fisheye shot of a cat sitting proudly on a rainbow flag draped over a cozy armchair, wearing a tiny, sparkling tiara. Around the room are photos of famous LGBTQ+ icons, enhancing the celebratory mood. In the style of lomography fisheye with vivid colors.","I'm out and fabulous, furever proud!","Sóc fora i fabulós, sempre orgullós!"
2025-06-12,"A mischievous cat dressed in a miniature superhero cape stands atop a pile of textbooks, symbolizing knowledge and empowerment, captured with a fisheye lens in lomography style with vivid colors. The classroom setting is simplified with a blackboard in the background scribbled with ""NO 2 CHILDLABUR.""","Wat? Iz superhero day at skool, not werk day!","Què? Es dia de superherois a l'escola, no de treballar!"
2025-06-13,"A snow-white albino cat wearing oversized sunglasses and a floppy sunhat, lounging under a palm tree, surrounded by tropical flowers. The scene captures the essence of a vibrant, sunny beach day, in the style of lomography fisheye with vivid colors.","Sun's out, shades on, no tan lines here!","Sol fora, ulleres posades, aquí no bronzejo gens!"
2025-06-14,"A fluffy white cat wearing a tiny nurse's cap and a red cape, perched heroically on a stack of blood donation pamphlets. The setting is a bustling veterinary office, captured in the style of lomography fisheye with vivid colors.",Donatin' bloodz? I haz bandaidz for you!,Donant sang? Tinc tirites per a tu!
2025-06-15,"Elderly cat in a cozy armchair, wearing spectacles and a knitted sweater, surrounded by old photo albums and a magnifying glass. In the style of lomography fisheye with vivid colors.","Dis mah chair, young whisker-snappers! No scramblin' mah nostalgia zone!","Aquesta és la meva cadira, joves bigotis! No remeneu la meva zona de records!"
2025-06-16,"A cat dressed in a tiny businessman suit, sitting at a small desk covered with miniature bills and a mini laptop, all inside a giant wallet. The background shows postcards from around the world pinned up, highlighting the theme of international remittances. The vivid lomography fisheye effect emphasizes the cat's determined face as it types on the laptop.",Dis how I keep our mice money flowin'!,Així mantenim el flux de diners dels ratolins!
2025-06-17,"A determined calico cat, clad in a tiny explorer outfit complete with a faux cactus hat, stands atop a sandbox 'desert' littered with miniature drought-resistant plants. A tiny, comically oversized watering can rests beside it. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the roundness and boldness of the environment.","I fixzes dis desert... but furst, a lil nap.","Arreglaré aquest desert... però primer, una petita migdiada."
